Product,price,Shipping_cost
NEW Samsung Galaxy A12  A22 5G 32GB 64GB 128GB Dual SIM Android phone GOOD,$158.48 to $171.05,26.17
Samsung Galaxy A10e SM-A102U - 32 GB - Black (Unlocked) (Single SIM),$65.00,34.75
Samsung N960 Galaxy Note 9 128GB Factory Unlocked Smartphone- Shaded screen,$135.00,30.04
Samsung Galaxy S10 128GB G973U Unlocked with LCD Shadows - Very Good,$119.99,29.60
SAMSUNG C3520 Mobile Phone Bluetooth MP3 FM Radio GSM Flip Unlocked Cell phone,$37.72,ree s
Samsung Galaxy Z Flip4 - 128gb - Black (For MetroPCS Smartphone),$20.50,26.67
Samsung Galaxy S21 Plus + 5G SM-G996U 128GB Unlocked Smartphone - Good,$232.99,32.94
"Samsung Galaxy Note 20 Ultra 5G SM-N986U, 128GB,Unlk,Small LCD,Fair Con:EE177",$179.00,32.11
Samsung Galaxy S8 G950U GSM Factory Unlocked 64GB Smartphone - Image Burn,$84.99,28.57
Samsung Galaxy S3   (Unlocked) Blue Good Condition,$49.95,20.28
Samsung Galaxy S20 5G SM-G981U 128GB PINK (FACTORY UNLOCKED) NEW OTHER SEALED,$222.88,33.41
Samsung Galaxy S9+ Plus 64GB | Factory Unlocked | Verizon AT&T T-Mobile,$129.00,29.87
Samsung Galaxy J7 Star 2018 SM-J737T T-Mobile Unlocked 32GB Silver C,$37.99,27.18
Samsung Galaxy A14 5G (A146U) 64GB GSM Unlocked Android (NEW),$149.95,30.49
Samsung Galaxy Z Fold4 -FACTORY UNLOCKED-SM-F936U1 - 512GB - BLACK - B Stock,$519.00,42.14
"Samsung Galaxy A11 SM-A115U 32GB 13MP 6.4"" Unlocked Smartphone - New Inbox",$94.99,29.64
Samsung Galaxy A32 5G - 64GB - (Unlocked) Verizon AT&T T-Mobile Metro Cricket,$89.95 to $139.95,22.49
New ListingSamsung Galaxy Note9  128GB - Cloud Silver (Unlocked) Powers On Screen Damaged,$49.95,32.69
Factory Unlocked Samsung Galaxy S21+ Plus 5G 128GB Black Smartphone - Good,$229.00,32.82
Samsung Galaxy NOTE 20 5G SM-N981U 128GB Gray FACTORY UNLOCKED - SHADOW,$215.00,32.40
Case for Samsung S22 S21 S20 S10 Plus S8 S6 A12 S23 Shockproof Hard Armor Cover,$6.28 to $10.05,20.63
Samsung Galaxy S20 / S20+ / S20 FE 5G - Unlocked/T-Mobile/Verizon/AT&T- Good,$143.77 to $189.99,30.76
Samsung Galaxy S5 Black Android 4G Smartphone 16GB UNLOCKED ALL ACCESSORIES - SB,$52.11,24.00
Samsung Galaxy S21 ULTRA 5G SM-G998U 128GB Phantom Black (Unlocked) - VERY GOOD,$349.00,37.13
Samsung Galaxy A53 5G SM-A536U1/DS - 128GB - Awesome Black (Unlocked) !!READ!!,$129.99,30.67
NEW UNLOCKED SAMSUNG GALAXY NOTE 20 ULTRA 5G SM-N986U ALL COLORS/MEMORY GSM+CDMA,$413.88,67.13
Samsung Galaxy S21 5G SM-G991U 128GB Unlocked Smartphone - Good,$196.99,32.65
✨Samsung Galaxy A54 5G✨128GB Graphite 120Hz AMOLED - Excellent,$209.00 to $225.00,33.47
Samsung Galaxy A42 5G SM-A426U Verizon Unlocked 128GB Prism Dot Gray Good,$94.99,28.86
Samsung Galaxy A21s 32GB/64GB/128GB - All Colours - Dual SIM Unlocked - Good,$119.42 to $132.00,24.40
Samsung Galaxy S20+ Plus 5G Unlocked G986U 128GB Android Smartphone Good,$199.00,31.93
Samsung Galaxy Z Flip 3 5G SM-F711U Factory Unlocked 128GB Phantom Black C,$179.99,31.37
