store_name,location,rating
العربية للعود,"ayyubi rd, صلاح الدين، prince faisal bin fahd stadium, الرياض 12836، المملكة العربية السعودية",4.3
العربية للعود,شارع الترمذي، أسواق العودة، الرياض 14712، المملكة العربية السعودية,3.8
العربية للعود,الخالدية، الدرعية 13713، المملكة العربية السعودية,3.8
العربية للعود,طريق نجم الدين الأيوبي الفرعي، طويق، الرياض 14931، المملكة العربية السعودية,3.3
العربية للعود,شارع التخصصي،، المعذر الشمالي، الرياض 12334، المملكة العربية السعودية,4.2
العربية للعود,7575 الطريق الدائري الشرقي الفرعي، القدس، الرياض 13214، المملكة العربية السعودية,4.0
العربية للعود,4239 طريق الملك فهد، العليا، 7062، الرياض 12311، المملكة العربية السعودية,4.1
العربية للعود,8015 طريق الدمام الفرعي، اليرموك، الرياض 13243، المملكة العربية السعودية,5.0
العربية للعود,شارع الإمام أحمد بن حنبل، النسيم الغربي، الرياض 14233، المملكة العربية السعودية,4.3
العربية للعود,الاسكان، الرياض 14317، المملكة العربية السعودية,4.1
arabian oud | العربية للعود,vj3x+6cf، النرجس، الرياض 13333، المملكة العربية السعودية,4.2
العربية للعود,cenomi tala mall، النفل، الرياض 13312، المملكة العربية السعودية,4.0
العربية للعود arabian oud,"كودو, الطريق الدائري الجنوبي الفرعي، الرياض-حى بجوار, الرياض المملكة العربية السعودية",4.4
العربية للعود والعطور الشرقية,الشفا، الرياض 13781، المملكة العربية السعودية,4.0
العربية للعود,"حي, شارع الأمير عبدالعزيز بن مساعد بن جلوي، السليمانية، الرياض 12221، المملكة العربية السعودية",4.3
العربية للعود,الطريق الدائري الغربي الفرعي، ظهرة نمار، الرياض 14924، المملكة العربية السعودية,4.0
العربية للعود,طريق الملك فهد الفرعي، السويدي، الرياض 12791، المملكة العربية السعودية,4.3
العربية للعود,ابن الرطبي، الشفا، الرياض 14721، المملكة العربية السعودية,4.2
العربيه للعود,8538 شارع أبي الأسود الدؤلي، النسيم الشرقي، الرياض 14243، المملكة العربية السعودية,4.0
العربية للعود,عرقة، الرياض 12543، المملكة العربية السعودية,3.6
العربية للعود,طريق سعد بن عبدالرحمن الأول الفرعي، الروابي، الرياض 14216، المملكة العربية السعودية,4.3
العربية للعود,"3516 الوادي, هجرة لبن، الرياض 12936، المملكة العربية السعودية",4.0
العربية للعود,المونسية، الرياض 13253، المملكة العربية السعودية,3.5
العربية للعود,طريق النصر، العزيزية، الرياض 14514، المملكة العربية السعودية,4.0
العربية للعود,الندوة، حي الندوة، الرياض 14814، المملكة العربية السعودية,3.4
العربية للعود,طريق ابي بكر الصديق، النرجس، الرياض 13336، المملكة العربية السعودية,3.6
العربية للعود,6441 شارع حسان بن ثابت، النسيم الشرقي، الرياض 14241، المملكة العربية السعودية,3.8
العربية للعود,الريان،، الرياض المملكة العربية السعودية,4.5
العربية للعود,شارع عنيزة، الريان، الرياض 14213، المملكة العربية السعودية,3.9
العربية للعود,"حي, الملك عبد العزيز، ذا فيو مول - طريق مكة المكرمة فرعي المملكة العربية السعودية",3.6
العربية للعود,طريق الثمامة، المونسية، الرياض 13421، المملكة العربية السعودية,3.7
العربية للعود,"الملقا, طريق الامام سعود بن فيصل الفرعي المملكة العربية السعودية",4.3
العربية للعود,طريق عرفات الفرعي، الدار البيضاء، الرياض 14518، المملكة العربية السعودية,4.3
العربية للعود,شارع الأمير بندر بن عبد العزيز، حي النهضة، النهضة، الرياض 13222، المملكة العربية السعودية,3.9
العربية للعود,عبدالرحمن الداخل، طويق، الرياض 14922، المملكة العربية السعودية,4.2
العربية للعود - الإدارة الإقليمية,"6579 الطريق الدائري الشمالي الفرعي، النفل، حي, an nafal، rala3876، 3876، الرياض 13312، المملكة العربية السعودية",4.4
العربية للعود,شارع العليا، العليا، الرياض 12222، المملكة العربية السعودية,4.0
العربية للعود,اسواق التميمى، شارع خالد بن الوليد، الاندلس، الرياض 13212، المملكة العربية السعودية,4.3
العربية للعود,al majd mall، الربوة، 6838 eastern ring branch rd، الرياض 12839، المملكة العربية السعودية,3.9
العربية للعود,وادي الصمان، الملك فيصل، الرياض 13215، المملكة العربية السعودية,3.4
العربية للعود,صالح الهاشمي، العقيق، الرياض 13511، المملكة العربية السعودية,3.6
العربية للعود,الحارث بن عبدالله، حي الندوة، الرياض 14813، المملكة العربية السعودية,3.5
