job_title, company_name_and_address, job_type
Graphic Designer, Duncan & Ross Consulting - Riyadh, Saudi Arabia 11 days ago, Full Time, 
Social Media & Influencer Manager, Ennismore - Doha, Qatar 10 days ago, Full Time, 
Photographer & Videographer (Hotel & Retail), Ennismore - Doha, Qatar 10 days ago, Full Time, 
UI/UX Designer, Project Growth - Cairo, Egypt 10 days ago, Freelance / Project, 
Social Media & Influencer Executive (Waterpark & Beach Club), Ennismore - Doha, Qatar 10 days ago, Full Time, 
Art Director, GroupM MENA - Dubai, United Arab Emirates 11 days ago, Full Time, 
Social Media & Influencer Executive (Hotel & Retail), Ennismore - Doha, Qatar 10 days ago, Full Time, 
Photographer & Videographer (Waterpark & Beach Club), Ennismore - Doha, Qatar 10 days ago, Full Time, 
Director - Procurement - Aldar Education, Aldar Education - Dubai, United Arab Emirates 10 days ago, Full Time, 
CEO – Interior Design, GatedTalent - Connecting Top Executive Search Firms And Executives - Dubai, United Arab Emirates 10 days ago, Full Time, 
Graphic Designer - Marketing - Burj Al Arab, Jumeirah Hotels & Resorts - Dubai, United Arab Emirates 11 days ago, Full Time, 
Art Director, Games Factory Talents | Connecting Passion & Talent - Riyadh, Saudi Arabia 11 days ago, Full Time, 
Technical Officer, PERSOLKELLY - Riyadh, Saudi Arabia 11 days ago, Freelance / Project, 
BIM COORDINATOR - MECHANICAL, Duncan & Ross Consulting - Riyadh, Saudi Arabia 11 days ago, Full Time, 
BIM COORDINATOR - ELECTRICAL, Duncan & Ross Consulting - Riyadh, Saudi Arabia 11 days ago, Full Time, 
Technical Officer, Programmed - Riyadh, Saudi Arabia 11 days ago, Freelance / Project, 
Editor & Content Developer (Copywriter), ADNOC Group - Dubai, United Arab Emirates 11 days ago, Full Time, 
Fashion Designer, Sharaf Retail - Dubai, United Arab Emirates 11 days ago, Freelance / Project, 
Junior Finance Graduate, Skill Farm - Dubai, United Arab Emirates 11 days ago, Full Time, 
Junior Graduate Analyst - Consulting, Skill Farm - Dubai, United Arab Emirates 11 days ago, Full Time, 
Head of Digital and Social, Jobs for Humanity - Riyadh, Saudi Arabia 11 days ago, Full Time, 
Graphic Designer, The British School of Kuwait (BSK) - Kuwait City, Kuwait 11 days ago, Full Time, 
Web Designer, inoi - Dubai, United Arab Emirates 11 days ago, Full Time, 
Remote Work-From-Home Positions (Easy Data Entry Jobs), Boree Potash Pty Ltd - Riyadh, Saudi Arabia 11 days ago, Full Time, 
Graphic Design/Multimedia Specialist, Nasco group - Kuwait City, Kuwait 12 days ago, Full Time, 
Zoho Developer, Koot.UAE - Dubai, United Arab Emirates 12 days ago, Full Time, 
Machine Operator, Element Materials Technology - Dubai, United Arab Emirates 12 days ago, Full Time, 
Senior UX UI Designer, Blackstone eIT - Cairo, Egypt 12 days ago, Full Time, 
Lead Designer, Jobs for Humanity - Dubai, United Arab Emirates 12 days ago, Full Time, 
Graphic Designer, Truelancer.com - Cairo, Egypt 13 days ago, Full Time, 
Graphic Designer - Jumia (Full Time), Jumia Group - Cairo, Egypt 12 days ago, Full Time, 
Designer (Installation), NPCC - Dubai, United Arab Emirates 12 days ago, Full Time, 
Part Time Work From Home - Seeking Remote Data Entry Clerk, AutenticoMultinivel.com - Tabuk, Saudi Arabia 12 days ago, Part Time, 
Director - Business Tax Advisory - Cairo, ACCA Careers - Cairo, Egypt 12 days ago, Full Time, 
Sr. Art Director, Rekrut by Talent 360 - Cairo, Egypt 13 days ago, Full Time, 
Marketing Director - Careem Pay, Careem - Dubai, United Arab Emirates 13 days ago, Full Time, 
