,jop_title,company_name,city,job_type
344,Motion Graphic Supervisor, MBC Group , Dubai,Internship
345,Head of Design (Dubai -Remote), Token Metrics Inc , Dubai,Internship
346,Interior Designer, ABM , Riyadh,Full Time
347,Graphic Designer, jobed.com , Cairo,Freelance / Project
348,UX/UI Specialist, Dicetek LLC , Dubai,Full Time
349,Theater Senior Logistician (Multiple Available – OCONUS), Bravura Information Technology Systems,,Full Time
350,Graphic designer,,,Internship
351,Video Editor, WalaPlus , Riyadh,Internship
352,Senior videographer, A2Z Media , MENA - Doha,Full Time
353,Director of Music, The Arts Club Dubai , Dubai,Full Time
354,Easy Work From Home - Data Entry Operators, Alison Phillips , Riyadh,Freelance / Project
355,Work From Home Data Entry Job (Entry Level), Alison Phillips , Dubai,Internship
356,Senior Video Editor, A2Z Media , MENA - Doha,Full Time
357,Editor, VAP Group , Dubai,Internship
358,Video Editor, VAP Group , Dubai,Part Time
359,Product Designer, elGrocer by Smiles , Online Grocery Delivery - Cairo,Full Time
360,Interior Designer, Olayan Saudi Holding Company , Riyadh,Internship
361,Artwork Finalizer, VML , Riyadh,Full Time
362,UX Designer & Graphic Designer, NamaaIT , Cairo,Freelance / Project
363,IT Director, DIMENSIONS HOSPITALITY , Makkah,Full Time
364,Graduate Urban Design, WSP in the Middle East , Riyadh,Full Time
365,Associate Creative Director Experience Design - Oman based, Publicis Sapient , Dubai,Part Time
366,Account Director, Social Media,,Internship
367,Senior Director - Utilities Operations and Maintenance, Michael Page , Dubai,Internship
368,Senior Strategic Designer, Bain & Company , Dubai,Part Time
369,Senior UI/UX Designer, StellaStays Inc , Cairo,Freelance / Project
370,Graphic Designer, Nathan & Nathan , Dubai,Internship
371,Graphic Designer, Albostany for real estate , Cairo,Internship
372,Senior Motion Graphics & Video Editor, Albostany for real estate , Cairo,Part Time
373,UX Designer, Dicetek LLC , Dubai,Part Time
374,Designer, myGwork , Cairo,Internship
375,CAD Designer Lead, Brunel , Doha,Part Time
376,Senior Director - Utilities Operations and Maintenance, Michael Page , Riyadh,Freelance / Project
377,Interior Designer, H. M. Al Rugaib & Sons Trading Co. , شركة حمد محمد الرقيب و أولاده التجارية - Riyadh,Full Time
